Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age, Race, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Single Race 6,Single Race 6 Code,Sex,Sex Code,Deaths,Population,Crude Rate
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,American Indian or Alaska Native,1002-5,Male,M,27,33988,79.4
,Unspecified Injury,GRINJ-020,Homicide,3,< 1 year,0,Black or African American,2054-5,Male,M,27,302357,8.9
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,1 year,1,White,2106-3,Female,F,27,1240285,2.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,9 years,9,White,2106-3,Female,F,27,1401216,1.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,7 years,7,White,2106-3,Male,M,27,1464533,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,9 years,9,White,2106-3,Male,M,27,1477137,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,11 years,11,White,2106-3,Male,M,27,1478750,1.8
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,17 years,17,White,2106-3,Male,M,27,1635178,1.7
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Female,F,26,294247,8.8
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,1 year,1,Black or African American,2054-5,Female,F,26,297286,8.7
,Non-Injury: Intestinal infections,GR113 001-003,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Male,M,26,302357,8.6
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,19 years,19,Black or African American,2054-5,Male,M,26,324208,8.0
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,14 years,14,Black or African American,2054-5,Male,M,26,335483,7.8
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Female,F,26,1227592,2.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,4 years,4,White,2106-3,Female,F,26,1288027,2.0
,Drowning,GRINJ-002,Unintentional,1,4 years,4,White,2106-3,Male,M,26,1348099,1.9
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,7 years,7,White,2106-3,Female,F,26,1395357,1.9
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,7 years,7,White,2106-3,Male,M,26,1464533,1.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,American Indian or Alaska Native,1002-5,Female,F,25,32589,76.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,3 years,3,White,2106-3,Female,F,25,1264353,2.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,3 years,3,White,2106-3,Female,F,25,1264353,2.0
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,3 years,3,White,2106-3,Female,F,25,1264353,2.0
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,11 years,11,White,2106-3,Female,F,25,1406762,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,6 years,6,White,2106-3,Male,M,25,1413673,1.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,6 years,6,White,2106-3,Male,M,25,1413673,1.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,13 years,13,White,2106-3,Female,F,25,1465663,1.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,11 years,11,White,2106-3,Male,M,25,1478750,1.7
,Drowning,GRINJ-002,Unintentional,1,17 years,17,White,2106-3,Male,M,25,1635178,1.5
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,< 1 year,0,Native Hawaiian or Other Pacific Islander,NHOPI,Male,M,24,7349,326.6
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,American Indian or Alaska Native,1002-5,Female,F,24,32589,73.6
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Female,F,24,294247,8.2
,Poisoning,GRINJ-015,Unintentional,1,18 years,18,Black or African American,2054-5,Female,F,24,317488,7.6
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,1 year,1,White,2106-3,Male,M,24,1300130,1.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,6 years,6,White,2106-3,Female,F,24,1345441,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,5 years,5,White,2106-3,Male,M,24,1379534,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,10 years,10,White,2106-3,Female,F,24,1400304,1.7
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,10 years,10,White,2106-3,Female,F,24,1400304,1.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,7 years,7,White,2106-3,Male,M,24,1464533,1.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,13 years,13,White,2106-3,Female,F,24,1465663,1.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,9 years,9,White,2106-3,Male,M,24,1477137,1.6
,Poisoning,GRINJ-015,Suicide,2,18 years,18,White,2106-3,Male,M,24,1624405,1.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,18 years,18,White,2106-3,Male,M,24,1624405,1.5
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Female,F,23,294247,7.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,17 years,17,Black or African American,2054-5,Male,M,23,333117,6.9
,Firearm,GRINJ-006,Homicide,3,16 years,16,Black or African American,2054-5,Female,F,23,334108,6.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Male,M,23,1286961,1.8
,Suffocation,GRINJ-017,Unintentional,1,1 year,1,White,2106-3,Male,M,23,1300130,1.8
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,1 year,1,White,2106-3,Male,M,23,1300130,1.8
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,4 years,4,White,2106-3,Male,M,23,1348099,1.7
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,9 years,9,White,2106-3,Female,F,23,1401216,1.6
,Suffocation,GRINJ-017,Suicide,2,19 years,19,White,2106-3,Female,F,23,1555980,1.5
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,19 years,19,White,2106-3,Female,F,23,1555980,1.5
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,18 years,18,White,2106-3,Male,M,23,1624405,1.4
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,< 1 year,0,Asian,A,Male,M,22,107131,20.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,< 1 year,0,White,2106-3,Male,M,22,1286961,1.7
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,5 years,5,White,2106-3,Female,F,22,1315921,1.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,3 years,3,White,2106-3,Male,M,22,1324796,1.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,7 years,7,White,2106-3,Female,F,22,1395357,1.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,7 years,7,White,2106-3,Female,F,22,1395357,1.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,12 years,12,White,2106-3,Female,F,22,1426650,1.5
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,8 years,8,White,2106-3,Male,M,22,1473917,1.5
,Firearm,GRINJ-006,Suicide,2,16 years,16,White,2106-3,Female,F,22,1567953,1.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,14 years,14,White,2106-3,Male,M,22,1583657,1.4
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,18 years,18,White,2106-3,Male,M,22,1624405,1.4
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,17 years,17,Black or African American,2054-5,Female,F,21,325472,6.5
,Poisoning,GRINJ-015,Unintentional,1,17 years,17,Black or African American,2054-5,Male,M,21,333117,6.3
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,2 years,2,White,2106-3,Female,F,21,1204770,1.7
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Male,M,21,1286961,1.6
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,4 years,4,White,2106-3,Male,M,21,1348099,1.6
,Drowning,GRINJ-002,Unintentional,1,5 years,5,White,2106-3,Male,M,21,1379534,1.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,11 years,11,White,2106-3,Female,F,21,1406762,1.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,7 years,7,White,2106-3,Male,M,21,1464533,1.4
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,8 years,8,White,2106-3,Male,M,21,1473917,1.4
,Poisoning,GRINJ-015,Suicide,2,19 years,19,White,2106-3,Female,F,21,1555980,1.3
,Fall,GRINJ-003,Suicide,2,19 years,19,White,2106-3,Male,M,21,1640102,1.3
,Drowning,GRINJ-002,Unintentional,1,2 years,2,Black or African American,2054-5,Male,M,20,303006,6.6
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,18 years,18,Black or African American,2054-5,Male,M,20,326551,6.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,13 years,13,Black or African American,2054-5,Male,M,20,326716,6.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,2 years,2,White,2106-3,Female,F,20,1204770,1.7
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,2 years,2,White,2106-3,Female,F,20,1204770,1.7
,Suffocation,GRINJ-017,Unintentional,1,1 year,1,White,2106-3,Female,F,20,1240285,1.6
,Non-Injury: Meningitis,GR113-050,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Male,M,20,1286961,1.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,4 years,4,White,2106-3,Female,F,20,1288027,1.6
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,6 years,6,White,2106-3,Female,F,20,1345441,1.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,4 years,4,White,2106-3,Male,M,20,1348099,1.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,5 years,5,White,2106-3,Male,M,20,1379534,1.4
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,10 years,10,White,2106-3,Male,M,20,1467514,1.4
,Firearm,GRINJ-006,Suicide,2,17 years,17,White,2106-3,Female,F,20,1551159,1.3
,Poisoning,GRINJ-015,Unintentional,1,14 years,14,White,2106-3,Male,M,20,1583657,1.3
,Poisoning,GRINJ-015,Suicide,2,19 years,19,White,2106-3,Male,M,20,1640102,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,16 years,16,White,2106-3,Male,M,20,1653144,1.2
,Drowning,GRINJ-002,Unintentional,1,4 years,4,Black or African American,2054-5,Male,M,19,305855,Unreliable
,Drowning,GRINJ-002,Unintentional,1,16 years,16,White,2106-3,Male,M,19,1653144,Unreliable
,Firearm,GRINJ-006,Suicide,2,18 years,18,White,2106-3,Female,F,19,1540695,Unreliable
,Firearm,GRINJ-006,Homicide,3,15 years,15,Black or African American,2054-5,Female,F,19,337632,Unreliable
,Firearm,GRINJ-006,Homicide,3,17 years,17,White,2106-3,Female,F,19,1551159,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,< 1 year,0,White,2106-3,Female,F,19,1227592,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,13 years,13,Black or African American,2054-5,Male,M,19,326716,Unreliable
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Male,M,19,302357,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,2 years,2,White,2106-3,Male,M,19,1266341,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,6 years,6,White,2106-3,Female,F,19,1345441,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,1 year,1,Black or African American,2054-5,Female,F,19,297286,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,19 years,19,White,2106-3,Male,M,19,1640102,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,Asian,A,Male,M,19,107131,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,1 year,1,Black or African American,2054-5,Male,M,19,305271,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,19 years,19,Black or African American,2054-5,Female,F,19,316850,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,6 years,6,White,2106-3,Female,F,18,1345441,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,10 years,10,White,2106-3,Female,F,18,1400304,Unreliable
,Poisoning,GRINJ-015,Suicide,2,14 years,14,White,2106-3,Female,F,18,1502444,Unreliable
,Suffocation,GRINJ-017,Suicide,2,13 years,13,White,2106-3,Male,M,18,1545577,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,2 years,2,White,2106-3,Female,F,18,1204770,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,3 years,3,White,2106-3,Female,F,18,1264353,Unreliable
,Drowning,GRINJ-002,Unintentional,1,< 1 year,0,White,2106-3,Male,M,17,1286961,Unreliable
,Drowning,GRINJ-002,Unintentional,1,1 year,1,Black or African American,2054-5,Male,M,17,305271,Unreliable
,Drowning,GRINJ-002,Unintentional,1,18 years,18,Black or African American,2054-5,Male,M,17,326551,Unreliable
,Firearm,GRINJ-006,Suicide,2,15 years,15,White,2106-3,Female,F,17,1561932,Unreliable
,Firearm,GRINJ-006,Suicide,2,16 years,16,Black or African American,2054-5,Male,M,17,346217,Unreliable
,Firearm,GRINJ-006,Homicide,3,12 years,12,Black or African American,2054-5,Male,M,17,322087,Unreliable
,Firearm,GRINJ-006,Homicide,3,14 years,14,Black or African American,2054-5,Female,F,17,325128,Unreliable
,Firearm,GRINJ-006,Homicide,3,16 years,16,White,2106-3,Female,F,17,1567953,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,< 1 year,0,Black or African American,2054-5,Male,M,17,302357,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,18 years,18,More than one race,M,Male,M,17,108775,Unreliable
,Suffocation,GRINJ-017,Unintentional,1,2 years,2,White,2106-3,Male,M,17,1266341,Unreliable
,Suffocation,GRINJ-017,Suicide,2,12 years,12,White,2106-3,Female,F,17,1426650,Unreliable
,Unspecified Injury,GRINJ-020,Homicide,3,< 1 year,0,White,2106-3,Female,F,17,1227592,Unreliable
,Unspecified Injury,GRINJ-020,Homicide,3,< 1 year,0,Black or African American,2054-5,Female,F,17,294247,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,1 year,1,White,2106-3,Female,F,17,1240285,Unreliable
,Non-Injury: Meningitis,GR113-050,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Female,F,17,1227592,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,American Indian or Alaska Native,1002-5,Male,M,17,33988,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,12 years,12,White,2106-3,Male,M,17,1507635,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,13 years,13,White,2106-3,Female,F,17,1465663,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,14 years,14,White,2106-3,Female,F,17,1502444,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,15 years,15,White,2106-3,Male,M,17,1648135,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,12 years,12,White,2106-3,Female,F,17,1426650,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,15 years,15,Black or African American,2054-5,Male,M,17,347925,Unreliable
,Drowning,GRINJ-002,Unintentional,1,< 1 year,0,White,2106-3,Female,F,16,1227592,Unreliable
,Drowning,GRINJ-002,Unintentional,1,3 years,3,Black or African American,2054-5,Male,M,16,303424,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,6 years,6,White,2106-3,Male,M,16,1413673,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,8 years,8,White,2106-3,Female,F,16,1407184,Unreliable
,Poisoning,GRINJ-015,Suicide,2,17 years,17,White,2106-3,Female,F,16,1551159,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,1 year,1,Black or African American,2054-5,Female,F,16,297286,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,15 years,15,White,2106-3,Male,M,16,1648135,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,10 years,10,White,2106-3,Female,F,16,1400304,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,Asian,A,Female,F,16,101237,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,2 years,2,Black or African American,2054-5,Male,M,16,303006,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,< 1 year,0,More than one race,M,Male,M,16,126722,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,9 years,9,Black or African American,2054-5,Male,M,16,320789,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,11 years,11,Black or African American,2054-5,Male,M,16,319837,Unreliable
,Firearm,GRINJ-006,Suicide,2,15 years,15,Black or African American,2054-5,Male,M,15,347925,Unreliable
,Firearm,GRINJ-006,Suicide,2,19 years,19,White,2106-3,Female,F,15,1555980,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,5 years,5,White,2106-3,Female,F,15,1315921,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,5 years,5,White,2106-3,Male,M,15,1379534,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,11 years,11,White,2106-3,Male,M,15,1478750,Unreliable
,Poisoning,GRINJ-015,Suicide,2,16 years,16,White,2106-3,Male,M,15,1653144,Unreliable
,Poisoning,GRINJ-015,Suicide,2,18 years,18,White,2106-3,Female,F,15,1540695,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,1 year,1,White,2106-3,Female,F,15,1240285,Unreliable
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Male,M,15,1286961,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,8 years,8,White,2106-3,Male,M,15,1473917,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,16 years,16,Black or African American,2054-5,Female,F,15,334108,Unreliable
,Drowning,GRINJ-002,Unintentional,1,5 years,5,Black or African American,2054-5,Male,M,14,312556,Unreliable
,Drowning,GRINJ-002,Unintentional,1,6 years,6,White,2106-3,Male,M,14,1413673,Unreliable
,Drowning,GRINJ-002,Unintentional,1,19 years,19,Black or African American,2054-5,Male,M,14,324208,Unreliable
,Firearm,GRINJ-006,Homicide,3,15 years,15,White,2106-3,Female,F,14,1561932,Unreliable
,Firearm,GRINJ-006,Homicide,3,19 years,19,More than one race,M,Male,M,14,105212,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,1 year,1,Black or African American,2054-5,Male,M,14,305271,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,2 years,2,Black or African American,2054-5,Male,M,14,303006,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,4 years,4,White,2106-3,Female,F,14,1288027,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,5 years,5,Black or African American,2054-5,Male,M,14,312556,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,15 years,15,Black or African American,2054-5,Female,F,14,337632,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,16 years,16,Black or African American,2054-5,Female,F,14,334108,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,19 years,19,More than one race,M,Male,M,14,105212,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,13 years,13,White,2106-3,Male,M,14,1545577,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,1 year,1,Black or African American,2054-5,Female,F,14,297286,Unreliable
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,< 1 year,0,White,2106-3,Female,F,14,1227592,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,1 year,1,White,2106-3,Male,M,14,1300130,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,4 years,4,Black or African American,2054-5,Female,F,14,298946,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,12 years,12,Black or African American,2054-5,Female,F,14,310865,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Female,F,14,294247,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,2 years,2,White,2106-3,Female,F,14,1204770,Unreliable
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,1 year,1,White,2106-3,Female,F,14,1240285,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,9 years,9,White,2106-3,Male,M,14,1477137,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,16 years,16,White,2106-3,Female,F,14,1567953,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,17 years,17,White,2106-3,Male,M,14,1635178,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,18 years,18,White,2106-3,Female,F,14,1540695,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,16 years,16,White,2106-3,Female,F,14,1567953,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,18 years,18,White,2106-3,Female,F,14,1540695,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,19 years,19,White,2106-3,Female,F,14,1555980,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,< 1 year,0,Asian,A,Female,F,14,101237,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,1 year,1,Black or African American,2054-5,Female,F,14,297286,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,15 years,15,Black or African American,2054-5,Female,F,14,337632,Unreliable
,Drowning,GRINJ-002,Unintentional,1,15 years,15,White,2106-3,Male,M,13,1648135,Unreliable
,Drowning,GRINJ-002,Unintentional,1,16 years,16,Black or African American,2054-5,Male,M,13,346217,Unreliable
,Fall,GRINJ-003,Suicide,2,18 years,18,White,2106-3,Male,M,13,1624405,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,9 years,9,White,2106-3,Female,F,13,1401216,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,14 years,14,White,2106-3,Male,M,13,1583657,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,1 year,1,White,2106-3,Female,F,13,1240285,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,16 years,16,Black or African American,2054-5,Male,M,13,346217,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,17 years,17,Black or African American,2054-5,Female,F,13,325472,Unreliable
,Poisoning,GRINJ-015,Suicide,2,15 years,15,White,2106-3,Female,F,13,1561932,Unreliable
,Poisoning,GRINJ-015,Suicide,2,17 years,17,White,2106-3,Male,M,13,1635178,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,3 years,3,White,2106-3,Male,M,13,1324796,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Female,F,13,1227592,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,17 years,17,Black or African American,2054-5,Male,M,13,333117,Unreliable
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Female,F,13,1227592,Unreliable
